Province,City,Area,Address,Simple Address,Latitude,Longitude
Free State,Welkom,Welkom,"Lategan street 30, Welkom","Welkom, Welkom, Free State",-28.0045655,26.7732162
Northern Cape,Kimberley,Kimberley,"39 Mac Dougall St, El Toro Park, Kimberley, 8301","Kimberley, Kimberley, Northern Cape",-28.7282384,24.7499112
Mpumalanga,Delmas,Delmas,Mareu Building,"Delmas, Delmas, Mpumalanga",-26.1403469,28.6786903
Mpumalanga,Standerton,Standerton,"Cnr Kerk & Princess, Central Park number 5, Standerton","Standerton, Standerton, Mpumalanga",-26.9438212,29.2204548
Mpumalanga,Ermelo,Ermelo,"18 & 19 De Jager street, Shop number 8, Pine Centre","Ermelo, Ermelo, Mpumalanga",-26.527048,29.9913964
Mpumalanga,Kriel,Kriel,C/O BOKMAKIERIE & MOOILAAN,"Kriel, Kriel, Mpumalanga",-26.2551061,29.2633978
Mpumalanga,Trichardt,Trichardt,"2nd floor room 210 Barney Molokwane Street, Trichardt","Trichardt, Trichardt, Mpumalanga",-26.4844792,29.2233608
North West,Potchefstrom,Potchefstrom,"Shop 24 Cnr Steve Biko & Meyer Street, Potchefstroom, 2531 ","Potchefstrom, Potchefstrom, North West",-26.7145268,27.0970622
North West,Rustenburg,Rustenburg,"102 Kock Street, Rustenburg, 2999","Rustenburg, Rustenburg, North West",-25.6544483,27.255854
North West,Brits,Brits,"Shop 19 Safari Ctr, Van Velden St, Brits","Brits, Brits, North West",-25.6099895,27.7959713
North West,Ifafi,Ifafi,Corner R511 and Beethoven Street ,"Ifafi, Ifafi, North West",-25.7446961,27.9000006
North West,Potchefstrom,Potchefstrom,"Shop 24 The Islands Shopping Mall, Provincial road R512","Potchefstrom, Potchefstrom, North West",-26.7145268,27.0970622
Kwa-Zulu Natal,Durban,Umhlanga,1d Umhlanga Ridge Blvd,"Umhlanga, Durban, Kwa-Zulu Natal",-29.7330347,31.0592806
Kwa-Zulu Natal,Durban,Greyville,"33/34 Victor Lane, Greyville, Durban","Greyville, Durban, Kwa-Zulu Natal",-29.8475714,31.0148742
Kwa-Zulu Natal,Pietermaritzbrug,Pietermaritzbrug,"Suite 205 Midlands Medical Centre, 162-166 Masukwana St, Pietermaritzburg, 3201","Pietermaritzbrug, Pietermaritzbrug, Kwa-Zulu Natal",-29.6006068,30.3794118
Kwa-Zulu Natal,Hilton,Hilton Gardens,"Hilton Gardens, Hilton, 3245","Hilton Gardens, Hilton, Kwa-Zulu Natal",-29.5421422,30.3046289
